"","treeID","nodeID","parmID","contPT","mwcpSZ"
"787",15,2,1,36,0
"788",15,2,0,NA,0
"789",15,7,1,40,0
"790",15,7,0,NA,0
"791",15,8,0,NA,0
"792",15,6,0,NA,0
"793",15,5,1,48,0
"794",15,5,1,45,0
"795",15,5,0,NA,0
"796",15,10,0,NA,0
"797",15,9,1,50,0
"798",15,9,0,NA,0
"799",15,11,0,NA,0
"800",15,4,1,61,0
"801",15,4,1,60,0
"802",15,4,1,55,0
"803",15,4,1,53,0
"804",15,4,0,NA,0
"805",15,15,0,NA,0
"806",15,14,1,56,0
"807",15,14,0,NA,0
"808",15,16,1,57,0
"809",15,16,0,NA,0
"810",15,17,1,59,0
"811",15,17,0,NA,0
"812",15,18,0,NA,0
"813",15,13,0,NA,0
"814",15,12,1,62,0
"815",15,12,0,NA,0
"816",15,19,1,65,0
"817",15,19,1,64,0
"818",15,19,1,63,0
"819",15,19,0,NA,0
"820",15,22,0,NA,0
"821",15,21,0,NA,0
"822",15,20,1,66,0
"823",15,20,0,NA,0
"824",15,23,1,67,0
"825",15,23,0,NA,0
"826",15,24,0,NA,0
"827",15,3,1,71,0
"828",15,3,1,69,0
"829",15,3,0,NA,0
"830",15,26,1,70,0
"831",15,26,0,NA,0
"832",15,27,0,NA,0
"833",15,25,1,72,0
"834",15,25,0,NA,0
"835",15,28,0,NA,0
"836",16,1,1,35,0
"837",16,1,0,NA,0
"838",16,2,1,69,0
"839",16,2,1,49,0
"840",16,2,1,48,0
"841",16,2,1,45,0
"842",16,2,1,43,0
"843",16,2,1,36,0
"844",16,2,0,NA,0
"845",16,8,1,37,0
"846",16,8,0,NA,0
"847",16,9,1,42,0
"848",16,9,1,39,0
"849",16,9,0,NA,0
"850",16,11,0,NA,0
"851",16,10,0,NA,0
"852",16,7,0,NA,0
"853",16,6,0,NA,0
"854",16,5,0,NA,0
"855",16,4,1,58,0
"856",16,4,1,55,0
"857",16,4,1,52,0
"858",16,4,1,50,0
"859",16,4,0,NA,0
"860",16,15,0,NA,0
"861",16,14,0,NA,0
"862",16,13,0,NA,0
"863",16,12,1,61,0
"864",16,12,1,60,0
"865",16,12,1,59,0
"866",16,12,0,NA,0
"867",16,18,0,NA,0
"868",16,17,0,NA,0
"869",16,16,1,64,0
"870",16,16,1,63,0
"871",16,16,1,62,0
"872",16,16,0,NA,0
"873",16,21,0,NA,0
"874",16,20,0,NA,0
"875",16,19,1,65,0
"876",16,19,0,NA,0
"877",16,22,1,68,0
"878",16,22,1,67,0
"879",16,22,1,66,0
"880",16,22,0,NA,0
"881",16,25,0,NA,0
"882",16,24,0,NA,0
"883",16,23,0,NA,0
"884",16,3,1,72,0
"885",16,3,1,71,0
"886",16,3,1,70,0
"887",16,3,0,NA,0
"888",16,28,0,NA,0
"889",16,27,0,NA,0
"890",16,26,0,NA,0
"891",17,1,1,66,0
"892",17,1,1,50,0
"893",17,1,1,46,0
"894",17,1,1,35,0
"895",17,1,0,NA,0
"896",17,5,1,36,0
"897",17,5,0,NA,0
"898",17,6,1,42,0
"899",17,6,1,39,0
"900",17,6,1,38,0
"901",17,6,0,NA,0
"902",17,9,0,NA,0
"903",17,8,0,NA,0
"904",17,7,1,43,0
"905",17,7,0,NA,0
"906",17,10,0,NA,0
"907",17,4,1,49,0
"908",17,4,1,48,0
"909",17,4,0,NA,0
"910",17,12,0,NA,0
"911",17,11,0,NA,0
"912",17,3,1,58,0
"913",17,3,1,56,0
"914",17,3,1,55,0
"915",17,3,1,51,0
"916",17,3,0,NA,0
"917",17,16,1,53,0
"918",17,16,1,52,0
"919",17,16,0,NA,0
